S_wing,alt_m,MN,E_case,CDS_m2,wave_m2,E_WD,E_geom,k,CLa,CD0
0.2,2500.0,0.8,lo,0.004929044267959563,0.0,1.4,1.8563466408126414,0.14370182170072113,2.9017147294469035,0.024645221339797813
0.2,2500.0,0.8,hi,0.004929044267959563,0.0,3.0,1.8563466408126414,0.14370182170072113,2.9017147294469035,0.024645221339797813
0.2,2500.0,0.85,nom,0.004863970024363107,2.8059295919857722e-15,1.8563466408126414,1.8563466408126414,0.14370182170072113,2.9457925622713135,0.02431985012181553
0.2,2500.0,0.85,lo,0.004863970024362417,2.116146490323818e-15,1.4,1.8563466408126414,0.14370182170072113,2.9457925622713135,0.024319850121812085
0.2,2500.0,0.85,hi,0.004863970024364835,4.534599622122468e-15,3.0,1.8563466408126414,0.14370182170072113,2.9457925622713135,0.024319850121824176
0.2,2500.0,0.9,nom,0.004801590128484669,5.026376301623358e-07,1.8563466408126414,1.8563466408126414,0.14370182170072113,2.9951837232251326,0.024007950642423344
0.2,2500.0,0.9,lo,0.004801466564819872,3.790739653663061e-07,1.4,1.8563466408126414,0.14370182170072113,2.9951837232251326,0.02400733282409936
0.2,2500.0,0.9,hi,0.004801899792208863,8.123013543563703e-07,3.0,1.8563466408126414,0.14370182170072113,2.9951837232251326,0.024009498961044314
0.2,2500.0,0.95,nom,0.004748720690568886,7.904070197212771e-06,1.8563466408126414,1.8563466408126414,0.327796419161485,3.0506739596425,0.023743603452844427
0.2,2500.0,0.95,lo,0.004746777628963933,5.961008592260396e-06,1.4,1.8563466408126414,0.327796419161485,3.0506739596425,0.02373388814481966
